text,category,scaled_impact
"SUSTAINABILITY & US SUSTAINABILITY, WHEN STRATEGICALLY EMBEDDED AT SOURCE, GETS CASCADED TILL THE END OF THE VALUE CHAIN PUNIT LALBHAI & KULIN LALBHAI Executive Directors | Arvind Limited 15 ","Policies, Standards, Code of Conduct",1.3222065453768574
"SUSTAINABILITY & US Sustainability at Arvind, is a core philosophy as well as the unique selling proposition that helps us to create and maintain enduring bonds with our clients, globally. As sustainability gains greater importance for our clients, we remain well poised to match up to their emerging expectations and perform at par with international benchmarks. By adopting input management as our preferred approach to sustainability, we are not just ensuring that our business remains fundamentally right but also contributing towards achieving the sustainability goals of our clients and staying true to the expectations of our varied stakeholders. STAKEHOLDER ENGAGEMENT FOCUSSED ENGAGEMENT WITH STAKEHOLDER GROUPS HELPS US UNDERSTAND THEIR NEEDS AND IMPROVE OUR POLICIES, PRACTICES, DECISIONS AND DISCLOSURES BASED ON THEIR FEEDBACK. STAKEHOLDER IDENTIFICATION The first step to garner the right interactions and solicit the right insights, is to identify and involve the right stakeholders. With this view, in FY 2013-14, we collaborated with Ernst & Young LLP for a structured identification of stakeholder groups as a way forward to our sustainability journey. Based on various parameters that impact the sustainability of business such as dependency, responsibility, tension and influence, we have zeroed in on the following key stakeholder groups.",Communication & Engagement,1.241682328503337
"ENGAGEMENT MECHANISM The stakeholder identification process was followed by reconstitution of our engagement mechanism. Diverse communication platforms were institutionalised for each stakeholder group, with the objective of communicating our company policies and expectations, and collecting timely feedback from stakeholders. In the reporting period, we continued to engage with all our stakeholders in a two-way dialogue through a host of channels: 18 ",Communication & Engagement,1.196661083545716
"INITIATIVES BROADENING THE FARMERS' PERSPECTIVE We invited farmers involved in the Akola BCI Project to visit Arvind's Ahmedabad unit. A two-day visit was structured to make the farmers fully aware about the activities carried out to manufacture the garments. The objective was to: PROVIDING BETTER PLATFORM TO CUSTOMERS These farmers play a leading and influential role in our BCI farm project and hence enthusing them to further adopt sustainable practices will lead to a chain of good practice implementation. This visit achieved the set objectives and also gave them an overview of the company. The interaction with the management and other concerned people, showed them the current scenario and the direction of the future. AS AN IMPORTANT STAKEHOLDER OF THE BCI PROJECT, THE VISIT REINFORCED AND RENEWED THEIR OUTLOOK REGARDING THE RESPONSIBLE METHODS OF FARMING. CUSTOMER PORTAL Sales Tracking Digital Marketing Product Promotions Customer Support Relationship Management Business growth runs parallel with customer satisfaction. To serve our customers in a more effective and delightful way, Arvind's denim business launched a customer portal which allows them to get all the company related news, photos of the latest collection of denim products and their detailed specifications online. The customers can register and track their order/ development inquiries, complaints, and sample requests among other facilities at the click of the button. This platform will go a long way in further serving, retaining and attracting valuable customers.",Customer Satisfaction,1.1486643757387247
"EMPOWERING EMPLOYEES WITH THE FREEDOM TO EXPRESS o Planning â¢ Implementation Abhivyakti, an employee engagement study was conducted with a view to undertake a work climate analysis. Employees were encouraged to share their feedback on the organisation including their satisfaction quotient as well as their expectations. Towers Watson, a leading global professional services company, assisted us in this study and its analysis. Leadership Wo ACT arking Study ENGAGE Potential areas assessed in this analysis include leadership & direction, working conditions, training and development, sustainable engagement, inclusion and corporate responsibility among others. Based on the feedback, separate reports were presented before the Board of Directors, the Chairman & Managing Director (CMD) and the various Business Heads, while the managers were assigned with the areas of action for their teams. This study was developed on a unique ask- analyse-act paradigm and is enabling us the opportunity to build on our strengths and open doors to rooms for improvement. Project Planning ANALYSE Report Production Result An ysis & Roll Out ASK ? Questionnaire design & nistration Survey A nslation 4,340 EMPLOYEES PARTICIPATED IN THIS WORK CLIMATE ANALYSIS STUDY REVAMPING THE IT INFRASTRUCTURE At Arvind, we are constantly innovating to enhance our people, processes and systems in our quest for making our operations and their business outcomes more effective and beneficial for all. During the reporting period, the entire business procedure at Arvind was integrated to modern IT systems in order to foster an environment of increased transparency and informed decision-making. A consolidated IT system backed by a robust ERP system leads to better communication and reduces the risk of errors. It augments productivity as people and other resources can engage in other tasks in the operations. Here are some of the IT initiatives undertaken during the reporting period: Â· Introduction of data centre consolidation with an uptime of 99.98% at Gandhinagar and Bengaluru has led to better prevention and reaction mechanism in Business Continuity Planning (BCP) and Disaster Recovery (DR) Â· Real-time data access and recovery is made possible with Business Intelligence dashboards across our operations and businesses. Better transparency and ready availability of relevant data catalyses optimum management control, strategic planning and effective decision making. Â· Intranet for all our internal communications and IT integration and automation of our administrative and HR procedures has resulted in paperless offices. Â· Restricted and conditional access to sensitive information imparts a high level of security to the entire business information and statistics at Arvind. Â· Being in the textile business, our carbon footprint is a factor that is continuously monitored and regulated. Virtualisation of servers based on the cost-effective X86 architecture has hugely reduced our power consumption and overheads.","Employee Health, Safety & Wellness",1.183962192359182
"MATERIALITY What our stakeholders expect from us, form the foundation of our business decisions. Over the years, it has become increasingly clear that stakeholders are placing greater emphasis on social and environmental parameters in the same breath as financial performance. It is therefore significant to listen to them carefully and engage with them on material issues. For a large business like ours, it is only natural to have diverse stakeholders each with distinct priorities and interests. Materiality analysis helps us identify the matters that matter the most to Arvind. In FY 2013-14, a formal materiality process was devised to identify the issues important to our stakeholders and our business, in consultation with Ernst & Young. For more information about our Materiality Process, please refer to the Sustainability & Us section in FY 2013-14's sustainability report. In the reporting period, we reanalysed and validated our materiality to identify and incorporate emerging issues, if any. Our materiality matrix (presented here) comprises a universe of sustainability issues raised by our stakeholders as well as our leadership team. These material issues have been plotted against an x-axis (representing impact on business) and a y-axis (representing issues important to stakeholders). Those on the top right corner of the materiality map represent the highest significance to Arvind. MATERIALITY MAP OF ARVIND LIMITED IMPORTANCE TO STAKEHOLDER 0.0 1.0 2.0 3.0 4.0 5.0 IMPACT ON BUSINESS 21",Communication & Engagement,1.1672585864876788
"Cotton was cultivated in the cradles of the civilisation. And today, despite a number of natural and artificial fibres, cotton still continues to remain in vogue. Being one of the largest producers of textiles and garments in India, cotton continues to remain a key input material for us - something that is essential for us to be fundamentally right. With the demand for garments growing, sustained supply of this vital ingredient, in sufficient volumes and at competitive rates, is material to us. SO WE ARE INVESTING TOWARDS CREATING AN ECOSYSTEM WHICH SECURES OUR INPUT, SAFEGUARDS FARMERS' INTERESTS AND ENHANCES FARM YIELD. Cotton farming is an extremely resource intensive process. At Arvind, we believe that the solution lies in making the farming process more efficient and responsible. 52% INCREASE IN THE NUMBER OF BCI FARMERS BETWEEN FY 2013-14 AND FY 2015-16 LCA OF ORGANIC & BCI COTTON REITERATES THE SUSTAINABILITY BENEFITS OF RESPONSIBLE COTTON FARMING COMPREHENSIVE FIVE-YEAR PLAN TO DRIVE BCI AHEAD AND TO DEVELOP GENUINELY ORGANIC COTTON SEEDS ZERO CHILD LABOUR AT OUR ORGANIC AND BCI COTTON FARMS THROUGH THE STRICT IMPLEMENTATION OF ANTI-CHILD LABOUR POLICY 25 ",Environmental Impact of Cotton and Other Fibres,1.311727307515743
"CONSUMPTION The consumption of cotton is predicted to increase, as the global textile industry is projected to grow at a CAGR of 4-5% over the next 10 years. Moreover, the expanding Indian middle class and increasing disposable incomes are poised to grow the Indian textile industry at a CAGR of 9-10% over the next decade. This translates to a corresponding progress for us; but also means a continuous climb in cotton requirement. This cotton supply should not only be smooth and of high quality, but also sustainable for the farmers and the environment. In the last two years, output at our Better Cotton Initiative (BCI) project farms as well as organic farms stagnated as the farmers opted for alternative cash crops. Nonetheless, we still remain confident of the long-term merits of both these cultivation methods and are determined to continue encouraging them in the times to come. Here is how our Akola-based Organic & BCI farm projects performed during the reporting period. 73,584 67,436 2013-14 2014-15 87,434 2015-16 Compared to FY 2013-14, here was an 8% and 15% drop in the area under cultivation in FY 2015-16. But on the other hand, the cultivation of other crops increased by almost 38%. DESPITE A SLUMP IN THE AREA UNDER CULTIVATION, THE NUMBER OF BCI FARMERS ENGAGED INCREASED BY OVER 52% BETWEEN FY 2013-14 AND FY 2015-16 Across the market, India saw a decrease of 13% in organic cotton production as a result of farmers moving away from cotton in favour of more lucrative crops. India's domestic and international market for organic food, flowers, and pharmaceutical extracts (such as marigolds) is growing rapidly, making this trend particularly prevalent amongst organic cotton farmers. 8,482 9,446 2013-14 2014-15 11,155 2015-16 26","Policies, Standards, Code of Conduct",1.2232199995421462
"OUR APPROACH TO SUSTAINABLE COTTON We need to ensure an uninterrupted supply chain, while remaining watchful that the cotton farmers, the community and the mother Earth reap the benefits as well. To make cotton farming sustainable and responsible, we need to understand and address the challenges across all three bottom lines. ECONOMIC SOCIAL ENVIRONMENTAL The challenge is to safeguard farmers' interest, while ensuring the supply. The need of the hour is to find more effective and efficient methods of farming, enhancing farm yield and reducing social evils like child labour. The task on hand is to find environmental friendly processes, to meet the continuously increasing demand. WE BELIEVE THAT WHAT COMES OUT DEPENDS ON WHAT GOES IN. As one of the implementers of Better Cotton Initiative in India and as one of the early proponents of organic farming, WE INVEST IN SAFEGUARDING THE SOIL'S SUSTAINABILITY AND SECURING THE FARMERS' INTERESTS; SUCH THAT WE CAN EXPECT A CONTINUAL SUPPLY OF OUR RAW MATERIAL. WE CALL THIS 'RESPONSIBLE SOURCING' AND IT IS ENSURED BY 'THE ARVIND AGRIBUSINESS CONTRACT FARMING PROCESS'. Based on variables such as the quality of soil, access to irrigation and other surrounding conditions, we help farmers choose the correct option between Organic Cotton cultivation and Better Cotton Initiative (BCI). Note: To know more about our contract farming process, please refer to Arvind Sustainability Report, 2013-14.",Environmental Impact of Cotton and Other Fibres,1.2744766309021978
"ORGANIC COTTON Organic cotton farming is the process of growing cotton as it was always meant to be - devoid of any genetic modification, without any artificial fertilizers or pesticides and in harmony with the cycles of nature. This not only protects the soil and groundwater; it also reduces the overall cost. Rotational cropping of leguminous crops like pulses, and scientific practices improve the yield per acre over time. In addition to spreading awareness about the benefits of organic farming, we also help farmers in forming Self Help Groups (SHGs) and create a self-sustainable, mutual support system, where peer-power is harnessed for problem solving and mobilising funds. THE STORY TILL NOW Inception of Organic Cotton Farming project to provide genuine organic fibres to customers Timely completion of certification by reputed third party agencies. First ever case of backward integration for organic fabrics at farm level Globally, challenging time for organic cotton; dearth of availability of organic seeds; widespread mixing of BT genes with the organic seeds available in the market 2006-07 2011-12 2014-15 2007-11 2012-14 2015-16 Establishment of the on-ground team and support infrastructure on - adoption of an intensive engagement model with farmers to ensure authentic produce Implemented irrigation schemes like farm ponds, check dams, and drip irrigation by mobilising external funding support We reworked our strategy for Organic Cotton and put the expansion of farm area on hold. The future of Organic Cotton Farm project would depend on availability of genuine seed and demand for Organic Cotton from customers The Road Ahead Action Plan 2016-2020 The term 'Organic' has been widely used, misused and abused to an extent that now the term itself has become suspect. In 2014-15, after recovering from the widespread contamination that occurred in organic cotton farms, we decided to go back to the drawing board and chart out an action plan that reinstates organic back to its old and trustworthy glory. Â· Research and commercially develop of genuine organic seeds Â· Enhance farmer income and foster social development Â· Encourage sustainable irrigation practices Â· Train, build capacity and implement organic farming practices Â· Add new dimension and work stream to strengthen genuine produce by ensuring availability of organic seeds Â·",Environmental Impact of Cotton and Other Fibres,1.2402239221823694
"BCI COTTON The Better Cotton Initiatives seeks to grow responsible cotton through carefully controlled application of water and use of approved fertilizers and pesticides; thereby, dramatically reducing the environment footprint of cotton farming. Arvind is one of the largest implementation partners of BCI in India. We see great merit in BCI as an intermediate step towards responsible farming because of advantages like: BCI Better Cotton Initiative BCI is regarded as the stepping stone to Organic Farming. We have formed learning groups to educate farmers on various techniques, enable them to harness economies of scale, and help them to collaborate and share knowledge. THE STORY TILL NOW 2014-15 LCA by PE International demonstrated that BCI scored significantly better than conventional cotton on all environmental aspects 2010-11 First BCI bale produced from India, from the Arvind farm project in Akola 2008-09 BCI established as a global, not-for-profit organisation. Better cotton standards published 29 2015-16 Defined a future-looking roadmap for manufacturing of clean, contamination-free and sustainable cotton in India with the help of state-of-the-art farm mechanisation and irrigation techniques 2011-14 Expanded the BCI programme to a larger area. Increased uptake of BCI in the mills at Ahmedabad. Marketing of BCI cotton to other spinning mills in India 2009-10 'Better Cotton Fast Track Programme' launched as an independent investment vehicle managed by IDH (the Sustainable Trade Initiative). Arvind joins BCI as an implementation partner. Starts implementation of BCI in the Akola region, in partnership with local farmers. First BCI project in India The Road Ahead The LCA report from 2014-15 has already reiterated to us, the potential benefits of BCI farming. We have worked out a five-year plan to take BCI ahead and deeper into the Indian farmlands. Action Plan 2016-2020 Â· Enhance yield & fibre quality, ensure safe handling of chemicals and build a reliable supply of clean cotton from India Â· Improve water linkages and sustainable irrigation practices Â· Train, build capacity and implement BCI principles more robustly Â· Work on child education, health, child labour and forced labour . Add new dimensions to ensure availability and traceability of cotton Â· Partner with external agencies for reinforcement with Lindsay Corporation for irrigation, Bayer for high-yield seeds, insecticides & pesticides and John Deere for mechanised sowing & harvesting of the cotton crop ",Environmental Impact of Cotton and Other Fibres,1.234432415089691
"Vision WE WILL ENABLE PEOPLE TO EXPERIENCE A BETTER QUALITY OF LIFE BY PROVIDING, ENRICHING AND INSPIRING LIFESTYLE SOLUTIONS This underlying theme of enhancing lifestyle runs across the broad spectrum of all business activities at Arvind.",Environmental Impact of Cotton and Other Fibres,1.1701771548897233
